ID_MUNICIPIO;ANNO;HOGARES;ID_DEPARTAMENTO
15476;2018;1492;15
15480;2018;2880;15
15491;2018;4986;15
15494;2018;1659;15
15500;2018;930;15
15507;2018;2733;15
15511;2018;977;15
15514;2018;1213;15
15516;2018;10872;15
15518;2018;849;15
15522;2018;569;15
15531;2018;2728;15
15533;2018;752;15
15537;2018;1508;15
15542;2018;2215;15
15550;2018;547;15
15572;2018;15482;15
15580;2018;1849;15
15599;2018;3005;15
15600;2018;2659;15
15621;2018;945;15
15632;2018;4087;15
15638;2018;1704;15
15646;2018;5184;15
15660;2018;702;15
15664;2018;1768;15
15667;2018;2108;15
15673;2018;1176;15
15676;2018;1007;15
15681;2018;2255;15
15686;2018;2637;15
15690;2018;1322;15
15693;2018;4119;15
15696;2018;1101;15
15720;2018;867;15
15723;2018;397;15
15740;2018;1942;15
15753;2018;3428;15
15755;2018;2438;15
15757;2018;2705;15
15759;2018;43562;15
15761;2018;1254;15
15762;2018;1065;15
15763;2018;2605;15
15764;2018;1697;15
15774;2018;1045;15
15776;2018;2039;15
15778;2018;1565;15
15790;2018;2091;15
15798;2018;1514;15
15804;2018;3157;15
15806;2018;4201;15
15808;2018;1190;15
15810;2018;1210;15
15814;2018;2736;15
15816;2018;1395;15
15820;2018;1180;15
15822;2018;1611;15
15832;2018;515;15
15835;2018;2117;15
15837;2018;2613;15
15839;2018;664;15
15842;2018;2607;15
15861;2018;4876;15
15879;2018;1021;15
15897;2018;1685;15
17001;2018;147104;17
17013;2018;7563;17
17042;2018;12142;17
17050;2018;3561;17
17088;2018;3425;17
17174;2018;16577;17
17272;2018;3950;17
17380;2018;23243;17
17388;2018;2116;17
17433;2018;6230;17
17442;2018;2749;17
17444;2018;4677;17
17446;2018;906;17
17486;2018;6517;17
17495;2018;1943;17
17513;2018;5292;17
17524;2018;5100;17
17541;2018;6837;17
17614;2018;14978;17
17616;2018;3585;17
17653;2018;6702;17
17662;2018;7288;17
17665;2018;1589;17
17777;2018;8867;17
17867;2018;3384;17
17873;2018;20771;17
17877;2018;4122;17
18001;2018;54252;18
18029;2018;1571;18
18094;2018;3745;18
18150;2018;8642;18
18205;2018;2419;18
18247;2018;6521;18
18256;2018;7968;18
18410;2018;4366;18
18460;2018;2698;18
18479;2018;1323;18
18592;2018;8094;18
18610;2018;4223;18
18753;2018;14181;18
