ID_MUNICIPIO;ANNO;POBLACION;ID_DEPARTAMENTO
5051;2033;35057;5
5051;2034;35382;5
5051;2035;35736;5
5055;2018;7689;5
5055;2019;7577;5
5055;2020;7545;5
5055;2021;7662;5
5055;2022;7780;5
5055;2023;7902;5
5055;2024;7975;5
5055;2025;8051;5
5055;2026;8137;5
5055;2027;8224;5
5055;2028;8290;5
5055;2029;8386;5
5055;2030;8470;5
5055;2031;8568;5
5055;2032;8644;5
5055;2033;8731;5
5055;2034;8816;5
5055;2035;8906;5
5059;2018;5139;5
5059;2019;5085;5
5059;2020;5074;5
5059;2021;5153;5
5059;2022;5232;5
5059;2023;5314;5
5059;2024;5361;5
5059;2025;5393;5
5059;2026;5448;5
5059;2027;5494;5
5059;2028;5540;5
5059;2029;5596;5
5059;2030;5668;5
5059;2031;5715;5
5059;2032;5761;5
5059;2033;5834;5
5059;2034;5882;5
5059;2035;5957;5
5079;2018;51969;5
5079;2019;53242;5
5079;2020;54347;5
5079;2021;55201;5
5079;2022;56053;5
5079;2023;56928;5
5079;2024;57483;5
5079;2025;58025;5
5079;2026;58590;5
5079;2027;59145;5
5079;2028;59738;5
5079;2029;60334;5
5079;2030;60963;5
5079;2031;61598;5
5079;2032;62227;5
5079;2033;62817;5
5079;2034;63426;5
5079;2035;63989;5
5086;2018;6000;5
5086;2019;6054;5
5086;2020;6116;5
5086;2021;6211;5
5086;2022;6307;5
5086;2023;6405;5
5086;2024;6439;5
5086;2025;6484;5
5086;2026;6540;5
5086;2027;6588;5
5086;2028;6647;5
5086;2029;6726;5
5086;2030;6784;5
5086;2031;6848;5
5086;2032;6933;5
5086;2033;7001;5
5086;2034;7066;5
5086;2035;7144;5
5088;2018;522264;5
5088;2019;538527;5
5088;2020;552154;5
5088;2021;560831;5
5088;2022;569488;5
5088;2023;578376;5
5088;2024;588462;5
5088;2025;598199;5
5088;2026;607353;5
5088;2027;615949;5
5088;2028;623926;5
5088;2029;631182;5
5088;2030;637794;5
5088;2031;643974;5
5088;2032;649964;5
5088;2033;655754;5
5088;2034;661377;5
5088;2035;666808;5
5091;2018;10323;5
5091;2019;10274;5
5091;2020;10284;5
5091;2021;10444;5
5091;2022;10605;5
5091;2023;10770;5
5091;2024;10850;5
5091;2025;10960;5
5091;2026;11043;5
5091;2027;11145;5
5091;2028;11258;5
5091;2029;11350;5
5091;2030;11475;5
5091;2031;11608;5
5091;2032;11712;5
5091;2033;11836;5
5091;2034;11941;5
5091;2035;12073;5
5093;2018;15607;5
5093;2019;15736;5
5093;2020;15896;5
5093;2021;16143;5
5093;2022;16392;5
5093;2023;16648;5
5093;2024;16767;5
5093;2025;16893;5
5093;2026;17024;5
5093;2027;17173;5
5093;2028;17311;5
5093;2029;17494;5
5093;2030;17655;5
5093;2031;17842;5
5093;2032;18030;5
5093;2033;18206;5
5093;2034;18373;5
5093;2035;18574;5
5101;2018;26118;5
5101;2019;26160;5
5101;2020;26313;5
5101;2021;26721;5
5101;2022;27134;5
5101;2023;27557;5
5101;2024;27905;5
5101;2025;28245;5
5101;2026;28563;5
5101;2027;28890;5
5101;2028;29206;5
5101;2029;29517;5
5101;2030;29826;5
5101;2031;30121;5
5101;2032;30424;5
5101;2033;30709;5
5101;2034;31002;5
5101;2035;31233;5
5107;2018;8039;5
5107;2019;8065;5
5107;2020;8120;5
5107;2021;8246;5
5107;2022;8373;5
5107;2023;8504;5
5107;2024;8576;5
5107;2025;8641;5
5107;2026;8710;5
5107;2027;8788;5
5107;2028;8874;5
5107;2029;8949;5
5107;2030;9054;5
5107;2031;9140;5
5107;2032;9225;5
5107;2033;9325;5
5107;2034;9411;5
5107;2035;9514;5
5113;2018;9354;5
5113;2019;9502;5
5113;2020;9634;5
5113;2021;9783;5
5113;2022;9934;5
5113;2023;10089;5
5113;2024;10143;5
5113;2025;10211;5
5113;2026;10299;5
5113;2027;10368;5
5113;2028;10462;5
5113;2029;10589;5
5113;2030;10682;5
5113;2031;10786;5
5113;2032;10907;5
5113;2033;11001;5
5113;2034;11118;5
5113;2035;11231;5
5120;2018;28996;5
5120;2019;29716;5
5120;2020;30356;5
5120;2021;30833;5
5120;2022;31309;5
5120;2023;31798;5
5120;2024;31976;5
5120;2025;32163;5
5120;2026;32385;5
5120;2027;32630;5
5120;2028;32914;5
5120;2029;33205;5
5120;2030;33544;5
5120;2031;33897;5
5120;2032;34259;5
5120;2033;34592;5
5120;2034;34929;5
5120;2035;35264;5
5125;2018;8297;5
5125;2019;8420;5
5125;2020;8536;5
5125;2021;8668;5
5125;2022;8802;5
5125;2023;8940;5
5125;2024;8992;5
5125;2025;9046;5
5125;2026;9106;5
5125;2027;9178;5
5125;2028;9259;5
5125;2029;9332;5
5125;2030;9440;5
5125;2031;9541;5
5125;2032;9628;5
5125;2033;9735;5
5125;2034;9826;5
5125;2035;9934;5
5129;2018;79638;5
5129;2019;81658;5
5129;2020;83423;5
5129;2021;84734;5
5129;2022;86042;5
5129;2023;87385;5
5129;2024;88727;5
5129;2025;90015;5
5129;2026;91239;5
5129;2027;92414;5
5129;2028;93522;5
5129;2029;94557;5
5129;2030;95538;5
5129;2031;96509;5
5129;2032;97422;5
5129;2033;98313;5
5129;2034;99193;5
5129;2035;100038;5
5134;2018;9203;5
5134;2019;9202;5
5134;2020;9243;5
5134;2021;9386;5
5134;2022;9531;5
5134;2023;9680;5
5134;2024;9740;5
5134;2025;9814;5
5134;2026;9883;5
5134;2027;9974;5
5134;2028;10067;5
5134;2029;10168;5
5134;2030;10276;5
5134;2031;10385;5
5134;2032;10486;5
5134;2033;10592;5
5134;2034;10692;5
5134;2035;10802;5
5138;2018;15523;5
5138;2019;15490;5
5138;2020;15552;5
5138;2021;15793;5
5138;2022;16037;5
5138;2023;16287;5
5138;2024;16428;5
5138;2025;16538;5
5138;2026;16695;5
5138;2027;16832;5
5138;2028;16982;5
5138;2029;17160;5
5138;2030;17333;5
5138;2031;17510;5
5138;2032;17691;5
5138;2033;17888;5
5138;2034;18030;5
5138;2035;18213;5
5142;2018;4582;5
5142;2019;4537;5
5142;2020;4532;5
5142;2021;4602;5
5142;2022;4673;5
5142;2023;4746;5
5142;2024;4811;5
5142;2025;4857;5
5142;2026;4909;5
5142;2027;4972;5
5142;2028;5010;5
5142;2029;5079;5
5142;2030;5138;5
5142;2031;5185;5
5142;2032;5222;5
5142;2033;5287;5
5142;2034;5338;5
5142;2035;5390;5
5145;2018;4743;5
5145;2019;4670;5
5145;2020;4648;5
5145;2021;4720;5
5145;2022;4793;5
5145;2023;4868;5
5145;2024;4920;5
5145;2025;4965;5
5145;2026;5004;5
5145;2027;5062;5
5145;2028;5114;5
5145;2029;5161;5
5145;2030;5222;5
5145;2031;5264;5
5145;2032;5329;5
5145;2033;5381;5
5145;2034;5423;5
5145;2035;5483;5
5147;2018;47932;5
5147;2019;49659;5
5147;2020;51143;5
5147;2021;51947;5
5147;2022;52749;5
5147;2023;53572;5
5147;2024;54339;5
5147;2025;55061;5
5147;2026;55751;5
5147;2027;56448;5
5147;2028;57094;5
5147;2029;57708;5
5147;2030;58310;5
5147;2031;58902;5
5147;2032;59459;5
5147;2033;60024;5
5147;2034;60561;5
5147;2035;61081;5
5148;2018;59416;5
5148;2019;61122;5
5148;2020;62581;5
5148;2021;63564;5
5148;2022;64546;5
5148;2023;65553;5
5148;2024;66374;5
5148;2025;67121;5
5148;2026;67903;5
5148;2027;68640;5
5148;2028;69382;5
5148;2029;70117;5
5148;2030;70849;5
5148;2031;71547;5
5148;2032;72269;5
5148;2033;72950;5
5148;2034;73628;5
5148;2035;74268;5
5150;2018;3954;5
5150;2019;3954;5
5150;2020;3972;5
5150;2021;4034;5
5150;2022;4096;5
5150;2023;4160;5
5150;2024;4221;5
5150;2025;4268;5
5150;2026;4327;5
5150;2027;4388;5
5150;2028;4442;5
5150;2029;4493;5
5150;2030;4542;5
5150;2031;4580;5
5150;2032;4623;5
5150;2033;4659;5
5150;2034;4700;5
5150;2035;4755;5
5154;2018;90213;5
5154;2019;93044;5
5154;2020;95427;5
5154;2021;96927;5
5154;2022;98423;5
5154;2023;99959;5
5154;2024;101577;5
5154;2025;103150;5
5154;2026;104638;5
5154;2027;106046;5
5154;2028;107359;5
5154;2029;108589;5
5154;2030;109711;5
5154;2031;110793;5
5154;2032;111797;5
5154;2033;112810;5
5154;2034;113795;5
5154;2035;114751;5
5172;2018;57375;5
5172;2019;58684;5
5172;2020;59836;5
5172;2021;60775;5
5172;2022;61714;5
5172;2023;62678;5
5172;2024;63676;5
5172;2025;64619;5
5172;2026;65518;5
5172;2027;66369;5
5172;2028;67164;5
5172;2029;67928;5
5172;2030;68603;5
5172;2031;69289;5
5172;2032;69965;5
5172;2033;70581;5
5172;2034;71188;5
5172;2035;71796;5
5190;2018;9775;5
5190;2019;9844;5
5190;2020;9936;5
5190;2021;10090;5
5190;2022;10246;5
5190;2023;10406;5
5190;2024;10578;5
5190;2025;10727;5
5190;2026;10878;5
5190;2027;11033;5
5190;2028;11169;5
5190;2029;11305;5
5190;2030;11410;5
5190;2031;11524;5
5190;2032;11626;5
5190;2033;11738;5
5190;2034;11851;5
5190;2035;11944;5
5197;2018;15444;5
5197;2019;15042;5
5197;2020;14833;5
5197;2021;15063;5
5197;2022;15296;5
5197;2023;15534;5
5197;2024;15687;5
5197;2025;15838;5
5197;2026;15990;5
5197;2027;16149;5
5197;2028;16307;5
5197;2029;16470;5
5197;2030;16649;5
5197;2031;16813;5
5197;2032;16982;5
5197;2033;17145;5
5197;2034;17292;5
5197;2035;17465;5
5206;2018;4797;5
5206;2019;4760;5
5206;2020;4758;5
5206;2021;4832;5
5206;2022;4906;5
5206;2023;4983;5
5206;2024;5027;5
5206;2025;5070;5
